sitename,site_code,LAT_WGS84,LONG_WGS84
Purisma,PUR,34.73051667,-120.6271
Jalama,JAL,34.48275,-120.4940333
Cojo,COJO,34.44565,-120.4248333
San Miguel Island Bay,SMI-BAY,34.0389,-120.3103333
San Miguel Island - North,SMI-NORTH,34.06236667,-120.35605
San Miguel Island - South,SMI-SOUTH,34.01591667,-120.3315167
Arroyo Quemado,AQM,34.4665333,-120.1326
Santa Rosa Island - South,SRI-SOUTH,33.89606667,-120.1282667
Santa Rosa Island - Carrington Pt.,SRI-CARR,34.02466667,-120.0818167
Ellwood,ELLWOOD,34.4248667,-119.9317
Naples,NAPLES,34.422851,-119.951837
Trailer,TRAIL,34.05291667,-119.9086167
Painted Cave,PAINTED CAVE,34.07245,-119.8714333
Morse Pt.,MORSE,33.9666333,-119.8548
Hazards-West,HAZ-WEST,34.0660667,-119.8415333
Arch Rock,ARCH-ROCK,34.05561667,-119.80345
Gull Island,GULL,33.95989,-119.7966167
Willows,WIL,33.96048333,-119.75195
Platts Harbor,PLATTS,34.04841667,-119.7366333
Pelican-West,PEL-WEST,34.03065,-119.6966167
Prisoners,PRISONERS,34.01941667,-119.6680333
Valley,VALLEY,33.98303333,-119.6626667
Coche,COCHE,34.0455,-119.60175
Yellowbanks,YEL,33.99151667,-119.5630833
Scorpion,SCORP,34.054,-119.5577667
Smugglers Cove,SMU,34.00215,-119.5429
Carpinteria State Beach,CARP,34.3889167,-119.5415333
Little Scorp,LITTLE SCORP,34.04365,-119.53635
Anacapa - Winfield Scott,ANA-WIN,34.00833333,-119.3956333
Anacapa - South,ANA-SOUTH,34.0102333,-119.3679833
Anacapa - Landing Cove,ANA-LAND,34.01781667,-119.365
